year,date,title,author,level,google_drive_id,filename
2013-14,2013-12-13,Union Find,Ryan Jian,,0B84cCW3wbL7fYkoyYThDUDMtYjA,union_find_12_13_13.pdf
2013-14,,Topological Sorting,Allen Cheng,,,
2013-14,,Starting and Finishing Times for Graph Traversal,Corwin de Boor,,,
2013-14,,Minimum Spanning Trees,Hariank Muthakana,,,
2013-14,,Levenshtein Distance and BK-Trees,Matthew Savage,,,
2013-14,,Maximum Flow,Samuel Hsiang,,,
2013-14,,Primes,Samuel Kim,,,
2013-14,,Functional Programming,Zane Rossi,,,
,,,,,,
2014-15,2014-10-03,String Matching,"Hariank Muthakana, Corwin de Boor",,0B84cCW3wbL7falFqblUtRU5sNXc,stringmatching_10_3_14.pdf
2014-15,2014-10-10,Meet in the Middle,Matthew Savage,,0B84cCW3wbL7fZEFMc3U5T256WU0,meet_middle_10_10_14.pdf
2014-15,2014-10-10,Complexity Theory,Hariank Muthakana,,0B84cCW3wbL7fZFlTWTRrZVRPOTQ,SCT_Complexity_Theory.pdf
2014-15,2014-10-03,Minimum Spanning Trees,Hariank Muthakana,,0B84cCW3wbL7fMjhUX1kxenBMODg,SCT_Minimum_Spanning_Trees_2014.pdf
2014-15,2015-01-16,Line Sweep,Hariank Muthakana,,0B84cCW3wbL7fTkY3N2RlVjlnRWc,SCT_Line_Sweep.pdf
2014-15,2015-02-13,Probabilistic Data Structures,Ethan Lowman,,0B84cCW3wbL7fd24xM1lMbFRFTjA,Probabilistic_Data_Structures.pdf
2014-15,2015-03-27,Lowest Common Ancestor,Matthew Savage,,0B84cCW3wbL7fcVF5SFFrSkhMV1U,SCT_Lowest_Common_Ancestor.pdf
2014-15,2015-04-10,Convex Hull,Hariank Muthakana,,0B84cCW3wbL7fX2xDdUZmMzNyQXM,SCT_Convex_Hull.pdf
2014-15,2015-04-23,Dynamic Programming,Rajat Khanna,Guest lecture,0B84cCW3wbL7fckpKX2czT21IY2c,SCT_Dynamic_Programming.pdf
2014-15,2015-05-01,Math Programming,"Shwetark Patel, Jerry Huang",Guest lecture,0B84cCW3wbL7faW5oMHZZQTFnNHc,SCT_Math_Programming.pdf
2014-15,2015-05-01,Lessons Learned from Battlecode 2015,"Eli Lifland, Nate Foss",Guest lecture,,
2014-15,2015-05-07,Cryptography,Samuel Kim,Guest lecture,0B84cCW3wbL7fZFpveXA2blV2aTA,SCT_Cryptography.pdf
2014-15,2015-05-15,Game Theory,Allen Cheng,Guest lecture,0B84cCW3wbL7fbi1aZjliM0hENDg,SCT_Game_Theory.pdf
2014-15,2015-05-22,Heavy-Light Decomposition,Samuel Hsiang,Guest lecture,0B84cCW3wbL7falQ4ZW9RN21YSkk,SCT_Heavy-Light_Decomposition.pdf
2014-15,2015-05-22,Multiplying Polynomials,Haoyuan Sun,Guest lecture,0B84cCW3wbL7fMi1OQTN0U01vNjA,SCT_Multiplying_Polynomials.pdf
,,,,,,
2015-16,2015-09-25,Welcome to Senior Computer Team!,SCT Officers,,0B84cCW3wbL7fNGc2TDdMZ2N1aDg,SCT_Orientation_1516.pdf
